,wav,sentence,label
2031,Ses02F_impro05_F019,It sounds like it's such a little like oh well no big deal whatever.  It's a big deal to me.,ang
2032,Ses02F_impro05_M020,"All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",neu
2033,Ses02F_impro05_F020,"Well, can I at least have my fifty dollars, please?",fru
2034,Ses02F_impro05_M021,"Yes, all right.  There you go, now you can file a claim over to the left--And they'll help you out.",neu
2035,Ses02F_impro05_F021,Thank you.,xxx
2036,Ses02F_impro05_F022,Thank you very much.,fru
2037,Ses02F_impro06_M000,"Hey, a what's up?",neu
2038,Ses02F_impro06_F000,"Um, Johnny died yesterday.",sad
2039,Ses02F_impro06_M001,"Wow, that's horrible.",neu
2040,Ses02F_impro06_M002,I'm sorry to hear about that.,neu
2041,Ses02F_impro06_F001,"We knew that it was coming, but--",sad
2042,Ses02F_impro06_M003,Yeah.,neu
2043,Ses02F_impro06_F002,"It seemed like he had a little bit longer.  Like just last week, he was doing was so well.",sad
2044,Ses02F_impro06_M004,"I mean, you know, at least he's not in anymore pain now, right?",neu
2045,Ses02F_impro06_F003,Yeah.,sad
2046,Ses02F_impro06_M005,"It's good, you know.  you know It hurts I know.  I know what it's like to lose someone like that.",neu
2047,Ses02F_impro06_F004,I just don't want him to be gone.,sad
2048,Ses02F_impro06_M006,It's okay.,neu
2049,Ses02F_impro06_M007,"'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",neu
2050,Ses02F_impro06_M008,I mean--I don't know.,neu
2051,Ses02F_impro06_F005,And his whole family was there.,sad
2052,Ses02F_impro06_F006,"I mean, he was like really conscious right up until the end. you know",sad
2053,Ses02F_impro06_M009,"Well, that's that's good, you know.  At least, I don't know.  I mean it's- it's better to go- to goout that way than...",neu
2054,Ses02F_impro06_M010,".than you know, in pain and like this gradual, this horrible process.  I mean--",neu
2055,Ses02F_impro06_F007,"He was so young, you know.  And all the stories he used to tell me about...",sad
2056,Ses02F_impro06_F008,...the way he wanted to live and he was gonna go to Africa and he was gonna--,sad
2057,Ses02F_impro06_M011,"But look at the--he--look at the life he did get to lead.  I mean, for his age, he'd done so much and--",neu
2058,Ses02F_impro06_F009,Nobody's ever gonna forget him.,sad
2059,Ses02F_impro06_M012,"Yeah, exactly.  He's made a big impact on a lot of people. and",neu
2060,Ses02F_impro06_M013,"And you'll always have that and--you should feel, you know, happy for him that he got to do so much before--I mean, and even after he found out last year.  I mean--",neu
2061,Ses02F_impro06_F010,He did a lot.  But--,sad
2062,Ses02F_impro06_M014,"I know.  It doesn't bring him back, but--",neu
2063,Ses02F_impro06_M015,"But It's okay because now, you know, you'll just go on with your life and--",neu
2064,Ses02F_impro06_F011,I'm gonna forget him.,sad
2065,Ses02F_impro06_M016,"No, you'll never forget him.",neu
2066,Ses02F_impro06_F012,I won't be able to hear his voice or his--,sad
2067,Ses02F_impro06_M017,I know. but you're not  I mean you're not going to forget him.  The pain will go away eventually and--or it will subside--,neu
2068,Ses02F_impro06_F013,You start to lose like that image after a while.,sad
2069,Ses02F_impro06_M018,"That will be, It'll be--it'll be better that way. I mean Time will tell.  Time heals, you know, and it's good.  It's okay.  I mean, it wasn't anybody's fault or anything like that so .",neu
2070,Ses02F_impro06_M019,"It's hard to lose someone that way, but he's he's better--he's better off now.",neu
2071,Ses02F_impro06_F014,Thanks.,sad
2072,Ses02F_impro07_M000,"So, how's it going?",neu
2073,Ses02F_impro07_F000,"It's going really well.  Um, I received something in the mail today.",xxx
2074,Ses02F_impro07_M001,"Oh, you got what?  Where?",exc
2075,Ses02F_impro07_F001,I got into U.S.C.,exc
2076,Ses02F_impro07_M002,"Oh, no way.",exc
2077,Ses02F_impro07_F002,"Yeah, I'm so excited.  So I'm gonna say--",exc
2078,Ses02F_impro07_M003,Are you gonna go? you gonna-,exc
2079,Ses02F_impro07_F003,"Yeah, I think, I mean because where else would I gonna go?  Like the other places that I applied to I really didn't like that much anyway.",exc
2080,Ses02F_impro07_F004,So--,exc
2081,Ses02F_impro07_M004,"Wow, that's...",exc
2082,Ses02F_impro07_M005,"...that's first choice, huh? That's so awesome and now look you're gonna be--you're gonna be here. you know",exc
2083,Ses02F_impro07_F005,"Yeah, I know.",exc
2084,Ses02F_impro07_F006,Absolutely. I'm so excited.,exc
2085,Ses02F_impro07_F007,"I know.  I know. And we'll all get to hang out.  And I'm--even though we'll be at like at different parts of the city, we can still, like...",exc
2086,Ses02F_impro07_F008,"...hang out and, like, have our different lives--And meet each other's friends and stuff.  So, I'm just so glad 'cause they have such a good school",exc
2087,Ses02F_impro07_M006,"Yeah, no, definitely--It's gonna..",exc
2088,Ses02F_impro07_M007,Yeah.,exc
2089,Ses02F_impro07_F009,"and like-- The football team--And like all the-...you- what I mean, like...",exc
2090,Ses02F_impro07_M008,Yeah,exc
2091,Ses02F_impro07_M009,Fight on.,exc
2092,Ses02F_impro07_F010,"You can walk somewhere and be anywhere in the country and be like, oh, yeah, I am at U.S.C.",exc
2093,Ses02F_impro07_F011,"And you know what, you know what I mean, like it's recognizable rather than just being like I went some random school. It's like people really know what you...",exc
2094,Ses02F_impro07_M010,[LAUGHTER],exc
2095,Ses02F_impro07_M011,Wow. That's cool.,exc
2096,Ses02F_impro07_F012,"...like, they feel like--I feel like it's going to be so like accomplished.  Do you know what I mean?",exc
2097,Ses02F_impro07_F013,Like it has some prestige. so,exc
2098,Ses02F_impro07_M012,Yeah. Hey. Prestigious school.,xxx
2099,Ses02F_impro07_M013,"So, what, do you have to send in your deposit now?  Or what you-?",xxx
2100,Ses02F_impro07_F014,"Yeah, I mean there's all the money stuff and my mom's helping me with the financial aid and stuff.  But, it'll be fine--",exc
2101,Ses02F_impro07_F015,"Like, now that I'm accepted, it's just, like, such a huge load off my mind.",exc
2102,Ses02F_impro07_M014,That's great.,xxx
2103,Ses02F_impro07_F016,I don't mind worrying about all the paperwork.  You know--,exc
2104,Ses02F_impro07_M015,Yeah.,xxx
2105,Ses02F_impro07_M016,So...,neu
2106,Ses02F_impro07_F017,"Because, I don't have to like make that decision anymore.  I don't have to try and decide, like, what the bad school I'm going to go to is. you know",exc
2107,Ses02F_impro07_M017,"Right.  Right.  Right. Oh, man, then you're going to have to do orientation, I guess.",exc
2108,Ses02F_impro07_F018,"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",exc
2109,Ses02F_impro07_M018,That'll be awesome.,hap
2110,Ses02F_impro07_M019,"I mean because you went to the campus before, right?",hap
2111,Ses02F_impro07_F019,"Yeah, oh totally.  It's a beautiful campus.  It's gonna be really nice.  Um, and everyone is friendly and like there's ivy on all the walls.  Oh, it's just so--it's so like collegiate.",exc
2112,Ses02F_impro07_F020,"You know what I mean?  Like, it's like exactly what I want.",exc
2113,Ses02F_impro07_M020,So what're you--what're you gonna do there?  Have you decided?  Thought about it?,xxx
2114,Ses02F_impro07_F021,"Well, you know, I've thought about it but they have so many things that I might--Like try some things out first...",exc
2115,Ses02F_impro07_M021,"I know.  I mean, it's good all around.",xxx
2116,Ses02F_impro07_F022,"...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one.  So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this.  You know what I mean?",exc
2117,Ses02F_impro07_F023,"So, um, so I don't know.",exc
2118,Ses02F_impro07_M022,[LAUGHTER],xxx
2119,Ses02F_impro07_F024,I mean I'm gonna take a bunch of stuff and see.,exc
2120,Ses02F_impro07_M023,Oh man.,exc
2121,Ses02F_impro07_F025,"I- They have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what I mean.",exc
2122,Ses02F_impro07_M024,I always see people walking around with like U.S.C stuff on--,xxx
2123,Ses02F_impro07_F026,"I know, I get to be one of those now--I'll like walk around and be like a U.S.C..  You know what I mean.",exc
2124,Ses02F_impro07_M025,You know is like.,xxx
2125,Ses02F_impro07_M026,I know.,xxx
2126,Ses02F_impro07_M027,Ahh. Yeah. [GARBAGE],exc
2127,Ses02F_impro07_M028,"You'll be like are you a fan or a student you know? Student. [LAUGHTER] Oh man, that's awesome.",exc
2128,Ses02F_impro07_F027,And you'll be like...,exc
2129,Ses02F_impro07_F028,"Student. I'm a student. Yes I am, Thank you very much.",exc
2130,Ses02F_impro07_F029,[BREATHING],exc
2131,Ses02F_impro07_M029,A U.S.C. graduate now. You're set.,exc
2132,Ses02F_impro07_F030,I know.  I'm excited.,exc
2133,Ses02F_impro07_F031,"Well, that'll take a while. [GARBAGE]",exc
2134,Ses02F_impro07_M030,"I know, that's a ways down the road. That's cool.",xxx
2135,Ses02F_impro07_F032,That's going to be a lot of work.,exc
2136,Ses02F_impro07_F033,"But, it'll be fine, I mean.  I'm so excited. It's going to be so fun.",exc
2137,Ses02F_impro07_M031,In LA. Oh man.,xxx
2138,Ses02F_impro07_F034,"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good.",exc
2139,Ses02F_impro07_M032,So much.,xxx
2140,Ses02F_impro07_M033,"But it's LA, you know, everything.",xxx
2141,Ses02F_impro07_M034,You're getting close to the beach.  I mean geez.,exc
2142,Ses02F_impro07_F035,I know. I know. So fun.  I can't wait.,exc
2143,Ses02F_impro07_M035,"Cool.  Well give me a call, you know when--You get in town. definitely Awesome.",xxx
2144,Ses02F_impro07_F036,I will. I will. Thank you.,exc
2145,Ses02F_impro07_F037,Thanks.,exc
2146,Ses02F_impro08_F000,"Hi, my name is Shiloh, welcome to--Airline Six.  Hi, how may I help you?",neu
2147,Ses02F_impro08_M000,"Yeah, hello.",fru
2148,Ses02F_impro08_M001,Ok.  I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done.  I've been trying to book this vacation this entire time.,fru
2149,Ses02F_impro08_F001,"All right, sir.",neu
2150,Ses02F_impro08_M002,"I know, I'm sorry.  It's-It's just that it's been a little frustrating because--",fru
2151,Ses02F_impro08_F002,I completely understand.  Automated systems are very difficult sometimes.,neu
2152,Ses02F_impro08_M003,Okay.,neu
2153,Ses02F_impro08_F003,"Um, how may I help you.  You're trying to book a specific flight?",neu
2154,Ses02F_impro08_M004,"Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-",fru
2155,Ses02F_impro08_F004,"Oh, yeah, absolutely.  You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time.",neu
2156,Ses02F_impro08_F005,"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",neu
2157,Ses02F_impro08_F006,"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh,  Just to make sure that you're happy with your service here.",neu
2158,Ses02F_impro08_M005,You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,neu
2159,Ses02F_impro08_F007,Is that all right?,neu
2160,Ses02F_impro08_F008,"I can do that right now for you. No, absolutely.  I can take care of you all the way through to the end.",neu
2161,Ses02F_impro08_F009,All I'm going to need is your credit card number but just give me one moment. So-,neu
2162,Ses02F_impro08_M006,[BREATHING] that's good.,neu
2163,Ses02F_impro08_F010,"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal.  You're taken care of by the time that you get there.",neu
2164,Ses02F_impro08_M007,"All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",neu
2165,Ses02F_impro08_F011,Absolutely. we we,neu
2166,Ses02F_impro08_F012,"Yes, I completely understand.  Actually, our-our airline only uses five star hotel and above.  Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",neu
2167,Ses02F_impro08_F013,"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",neu
2168,Ses02F_impro08_M008,Okay. So--,neu
2169,Ses02F_impro08_F014,Yeah.,neu
2170,Ses02F_impro08_M009,"Well, you know, we wanted to--we wanted to go to Maui and--That was a",neu
2171,Ses02F_impro08_F015,Okay.,neu
2172,Ses02F_impro08_M010,"--you know, the kids wanna go to the beach and stuff and so--um",neu
2173,Ses02F_impro08_F016,Great.  How many seats?,neu
2174,Ses02F_impro08_M011,"Well, it's gonna be four of them.",neu
2175,Ses02F_impro08_F017,Okay.  Great.  Four seats.  I'll book you for four seats.,neu
2176,Ses02F_impro08_M012,All right.  And can they like all get together?,neu
2177,Ses02F_impro08_F018,"Oh, yeah, absolutely.  Um- Would you like window seats or aisles?",neu
2178,Ses02F_impro08_M013,"Um- You know, window is nice. I guess",neu
2179,Ses02F_impro08_F019,"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",neu
2180,Ses02F_impro08_M014,"All right, Sure.  A yeah, that- that'd be good.",xxx
2181,Ses02F_impro08_F020,Okay.  Great.  What time of the day would you like?,neu
2182,Ses02F_impro08_M015,"Uh, well, yeah, I think we were just--you know, whenever best available, I guess.  You know--",neu
2183,Ses02F_impro08_F021,All right.  Great.  Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,neu
2184,Ses02F_impro08_F022,"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.",neu
2185,Ses02F_impro08_M016,"And, like, there's there's shuttles or something that I can get to the hotel.",neu
2186,Ses02F_impro08_F023,Absolutely.  That actually goes in on the same package with our hotel.  You just give me your address.  We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,neu
2187,Ses02F_impro08_F024,And a there will also be a shuttle waiting for you to take you to the appropriate hotel.,neu
2188,Ses02F_impro08_M017,"Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",xxx
2189,Ses02F_impro08_F025,Yeah--I completely understand.  It's a difficult process sometimes and we want to make traveling as easy as possible.,neu
2190,Ses02F_impro08_M018,All right.  So we're confirmed then or do you--All right.,neu
2191,Ses02F_impro08_F026,Absolutely. Thank you so much for calling and we hope that you will come to us again.,neu
2192,Ses02F_impro08_M019,Okay.,neu
2193,Ses02F_impro08_F027,Thank you.,neu
2194,Ses02F_script01_1_F000,What's he gonna say?  Maybe we ought to tell him before he sees it.,xxx
2195,Ses02F_script01_1_M000,He saw it.,xxx
2196,Ses02F_script01_1_F001,"How could he see it?  I was the first one up, he was still in bed.",xxx
2197,Ses02F_script01_1_M001,He was out here when it broke.,xxx
2198,Ses02F_script01_1_F002,When?,xxx
2199,Ses02F_script01_1_M002,About four this morning.  I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,xxx
2200,Ses02F_script01_1_F003,What was he doing out here at four in the morning?,xxx
2201,Ses02F_script01_1_M003,"I don't know.  When it cracked, he ran back in the house and cried in the kitchen.",xxx
2202,Ses02F_script01_1_F004,Did you talk to him?,sad
2203,Ses02F_script01_1_M004,No.  I thought it was best to leave him alone.,xxx
2204,Ses02F_script01_1_F005,He cried hard?,sad
2205,Ses02F_script01_1_M005,I could hear him right through the floor of my room.,xxx
2206,Ses02F_script01_1_F006,What was he doing out here at that hour?,sad
2207,Ses02F_script01_1_F007,He's dreaming about him again.  He's walking around at night.,xxx
2208,Ses02F_script01_1_M006,I guess he is.,xxx
2209,Ses02F_script01_1_F008,He's getting just like after he died.  What is the meaning of that?,xxx
2210,Ses02F_script01_1_M007,"I don't know the meaning of it.  But, I know one thing Mom, we made a terrible mistake with Dad.",xxx
2211,Ses02F_script01_1_F009,What?,xxx
2212,Ses02F_script01_1_M008,"Being dishonest with him.  I mean, that sort of thing always pays off and now it's paying off.",xxx
2213,Ses02F_script01_1_F010,What you mean dishonest?,xxx
2214,Ses02F_script01_1_M009,You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,xxx
2215,Ses02F_script01_1_F011,What do you want to do argue with him?,fru
2216,Ses02F_script01_1_M010,"No, I don't want to argue with him, but it's about time he realized that nobody believes Larry's alive anymore?",xxx
2217,Ses02F_script01_1_M011,Why shouldn't he dream of him and walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we don't have any hope anymore?  That we haven't had hope for years now?,ang
2218,Ses02F_script01_1_F012,You can't say that to him.,fru
2219,Ses02F_script01_1_M012,We've got to say it to him.,fru
2220,Ses02F_script01_1_F013,Can you prove it?  How can you prove it?,fru
2221,Ses02F_script01_1_M013,"For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",ang
2222,Ses02F_script01_1_F014,"To you it is and to me, but not to him.  I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?",fru
2223,Ses02F_script01_1_M014,"Sit down, Mom.  I want to talk to you.",xxx
2224,Ses02F_script01_1_F015,"Trouble is the God damn newspapers.  Every month or so a boy turns up out of nowhere so, you know, the next one is gonna be Larry.",xxx
2225,Ses02F_script01_1_M015,All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,fru
2226,Ses02F_script01_1_F016,Why?,xxx
2227,Ses02F_script01_1_M016,You know.,xxx
2228,Ses02F_script01_1_F017,"I've got an idea, but what's the story?",sad
2229,Ses02F_script01_1_M017,I'm gonna ask her to marry me.,neu
2230,Ses02F_script01_1_F018,"Well, that's only your business, Chris.",neu
2231,Ses02F_script01_1_M018,You know it's not only my business.,fru
2232,Ses02F_script01_1_F019,What do you want me to do?  You're old enough to know your own mind.,ang
2233,Ses02F_script01_1_M019,So it's all right then?,fru
2234,Ses02F_script01_1_M020,I'll go ahead with it?,fru
2235,Ses02F_script01_1_F020,"Well, you want to make sure that your father isn't going to--",xxx
2236,Ses02F_script01_1_M021,"Well, then it isn't just my business--",ang
2237,Ses02F_script01_1_F021,I'm just saying that--,neu
2238,Ses02F_script01_1_M022,"Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",xxx
2239,Ses02F_script01_1_F022,I ignore what I gotta ignore.  The girl is Larry's girl.,xxx
2240,Ses02F_script01_1_M023,She's not Larry's girl.,ang
2241,Ses02F_script01_1_F023,"From your father's point of view, he isn't dead.  And you've no right to take his girl.",fru
2242,Ses02F_script01_1_F024,"And you can go on from there if you know where to go, but I don't know where to go.  See, I don't know.  Now what can I do for you?",fru
2243,Ses02F_script01_1_M024,"I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer.  My whole bloody life.  Time after time after time.",fru
2244,Ses02F_script01_1_F025,You're a considerate fellow.  There's nothing wrong with that.,neu
2245,Ses02F_script01_1_M025,To hell with that.,ang
2246,Ses02F_script01_1_F026,[BREATHING] Have you asked Annie yet?,neu
2247,Ses02F_script01_1_M026,I wanted to get this settled first.,xxx
2248,Ses02F_script01_1_F027,"Well, how do you know she'll marry you?  Maybe she feels the same way your father does.",neu
2249,Ses02F_script01_1_M027,"Well, if she does, then that's the end of it.  But from her letters, I think she's forgotten him.  I'll find out.  And then we'll thrash it out with Dad, right?  Mom, don't avoid me.",sad
2250,Ses02F_script01_1_F028,"Trouble is, you don't see enough women.",sad
2251,Ses02F_script01_1_F029,You never did.,fru
2252,Ses02F_script01_1_M028,"So what, I'm not fast with women.",xxx
2253,Ses02F_script01_1_F030,I just don't see why it has to be Annie.,fru
2254,Ses02F_script01_1_M029,Because it is.,neu
2255,Ses02F_script01_1_F031,"Well, that's a good answer, but it doesn't answer anything.  I mean, you've been away for--at war.  It's been five years.",fru
2256,Ses02F_script01_1_M030,"I can't help it.  I know her best.  I mean, I grew up next door to her.",xxx
2257,Ses02F_script01_1_M031,"These years when I think of a wife, I think of Annie.  What do you want, a diagram?",fru
2258,Ses02F_script01_1_F032,"I don't want a diagram.  Umm-- He thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.",fru
2259,Ses02F_script01_1_F033,"I mean, what's gonna happen to your father?  Do you know?  I don't.",fru
2260,Ses02F_script01_1_M032,"All right.  All right, then, Mom.",fru
2261,Ses02F_script01_1_F034,I just--give it some more thought.,fru
2262,Ses02F_script01_1_M033,I've given it three years of thought.  I thought that if I waited Dad would forget about Larry and we could have a regular wedding and everything happy.,fru
2263,Ses02F_script01_1_M034,"But if I can't--if that can't happen here, then I'll have to get out.",xxx
2264,Ses02F_script01_1_F035,What the hell is this?,sur
2265,Ses02F_script01_1_M035,I'll get out.  I'll get married and go live some place else.  Maybe New York.,xxx
2266,Ses02F_script01_1_F036,Are you crazy?,ang
2267,Ses02F_script01_1_M036,I've been a good son too long.  A good sucker.  I'm through with it.,ang
2268,Ses02F_script01_1_F037,What about the business?  What the hell is this?,ang
2269,Ses02F_script01_1_M037,The business?  The business doesn't inspire me.,ang
2270,Ses02F_script01_1_F038,Must you be inspired?,ang
2271,Ses02F_script01_1_M038,"Yes.  I like it an hour a day.  If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",ang
2272,Ses02F_script01_1_M039,"I want a family.  I want kids.  I want something that I can give myself to.  Annie's in the middle of that.  Now, where do I find it?",xxx
2273,Ses02F_script01_1_F039,"Tell me, you'd leave the business?",xxx
2274,Ses02F_script01_1_M040,"Yes, on this I would.",neu
2275,Ses02F_script01_1_F040,"Well, you don't want to think like that.",ang
2276,Ses02F_script01_1_M041,Then help me stay here.,xxx
2277,Ses02F_script01_1_F041,"All right, but just don't go thinkin' like that 'cause otherwise what did we work for?  I mean, the whole thing is for you, Chris.  The whole shootin' match is for you.",xxx
2278,Ses02F_script01_1_M042,"I know.  I know, Mom.  Just help me stay here.",fru
2279,Ses02F_script01_1_F042,"All right.  Just-- just don't go thinkin' that way, you hear me?",fru
2280,Ses02F_script01_1_M043,I am thinkin' that way.,neu
2281,Ses02F_script01_1_F043,"I don't understand you, do I?",fru
2282,Ses02F_script01_1_M044,"No, you don't.  I'm a pretty tough guy.",neu
2283,Ses02F_script01_1_F044,I can see that.,sad
2284,Ses02F_script01_2_F000,Why did he invite her here?,xxx
2285,Ses02F_script01_2_M000,Why does that bother you?,xxx
2286,Ses02F_script01_2_F001,She's been in New York for three and half years.  Why all of a sudden?,xxx
2287,Ses02F_script01_2_M001,"Well, maybe he just wanted to see her again.",neu
2288,Ses02F_script01_2_F002,Nobody comes seven hundred miles just to see.,xxx
2289,Ses02F_script01_2_M002,What do you mean?  He lived next door to the girl all his life.  Why wouldn't he want to see her again?,neu
2290,Ses02F_script01_2_M003,Don't look at me like that.  He didn't tell me anymore than he told you.,xxx
2291,Ses02F_script01_2_F003,She's not-,xxx
2292,Ses02F_script01_2_M004,How do you know he's even thinking of it?,neu
2293,Ses02F_script01_2_F004,-he's not gonna marry her.,oth
2294,Ses02F_script01_2_F005,It's got that all about it.,ang
2295,Ses02F_script01_2_M005,"Well, so what?",neu
2296,Ses02F_script01_2_F006,"What's going on here, Joe?",xxx
2297,Ses02F_script01_2_M006,"Now, listen Kate.",neu
2298,Ses02F_script01_2_F007,"She's not his girl, Joe.  She knows she's not.",xxx
2299,Ses02F_script01_2_M007,You can't read her mind.,neu
2300,Ses02F_script01_2_F008,"Well then why is she still single?  I mean, New York is full of men.  Why isn't she married?  Probably a hundred people told her she's crazy, but she's waited.",fru
2301,Ses02F_script01_2_M008,How do you know why she's waited?,neu
2302,Ses02F_script01_2_F009,"She knows what I know, that's why.  She's faithful as a rock.  In my worst moments I think of her waiting and I know again that I'm right.",fru
2303,Ses02F_script01_2_M009,"Look, it's a nice day.  What are we arguing for?",fru
2304,Ses02F_script01_2_F010,"Nobody in this house dares take her faith away, Joe?  Strangers might, but not his father, not his brother.",xxx
2305,Ses02F_script01_2_M010,"Well, what do you want me to do about it?",fru
2306,Ses02F_script01_2_F011,I want you to act like he's coming back.  Both of you.  Don't you think I haven't noticed since she got here.  I won't stand for any nonsense.,fru
2307,Ses02F_script01_2_M011,But Kate--,fru
2308,Ses02F_script01_2_F012,"Because if he's not coming back, I'll kill myself.  I mean, laugh--laugh at me, but...",ang
2309,Ses02F_script01_2_F013,But why did that happen the very night she came here?  She sleeps in his room and his memorial breaks to pieces.  Just look.  Look at it.,ang
2310,Ses02F_script01_2_M012,Calm yourself.,fru
2311,Ses02F_script01_2_F014,"Believe with me, Joe.  I can't stand all alone.",fru
2312,Ses02F_script01_2_M013,Calm yourself.,fru
2313,Ses02F_script01_2_F015,"Last week, a man turned up in Detroit missing longer than Larry.  I mean, you read it yourself.",fru
2314,Ses02F_script01_2_M014,All right.  All right.  Calm yourself.,fru
2315,Ses02F_script01_2_F016,"You, above all, have to believe.",fru
2316,Ses02F_script01_2_M015,What?- Why- Why me above all?,xxx
2317,Ses02F_script01_2_F017,Just--just don't stop believing.,fru
2318,Ses02F_script01_2_M016,What does that mean?  Me above all?,ang
2319,Ses02F_script01_2_M017,Look at you.  Look at you shaking.,ang
2320,Ses02F_script01_2_F018,I can't help it.,fru
2321,Ses02F_script01_2_M018,What have I got to hide?  What the hell is the matter with you Kate?,ang
2322,Ses02F_script01_3_F000,You're the only one I know who loves his parents.,xxx
2323,Ses02F_script01_3_M000,"I know, it went out of style, didn't it?",xxx
2324,Ses02F_script01_3_F001,It's all right.  It's a good thing.,xxx
2325,Ses02F_script01_3_F002,"You know, it's lovely here, the air is sweet.",xxx
2326,Ses02F_script01_3_M001,You're not sorry you came?,neu
2327,Ses02F_script01_3_F003,"No, not sorry.  Um, but, I'm- I'm not gonna stay.",xxx
2328,Ses02F_script01_3_M002,Why?,xxx
2329,Ses02F_script01_3_F004,"Well, for one thing, your mother as much as told me to go.",xxx
2330,Ses02F_script01_3_M003,Oh.,xxx
2331,Ses02F_script01_3_F005,"You saw that.  I mean and then, well, you've been kind of, um--",xxx
2332,Ses02F_script01_3_M004,What?,xxx
2333,Ses02F_script01_3_F006,"Well, kind of embarrassed ever since I got here.",xxx
2334,Ses02F_script01_3_M005,"The trouble is, I planned on sort of sneaking up on you over a period of a week or so.  But, they take it for granted that we're all set.",xxx
2335,Ses02F_script01_3_F007,"I knew they would, your mother anyway.",xxx
2336,Ses02F_script01_3_F008,"Well,",xxx
2337,Ses02F_script01_3_F009,"from her point of view, why else would I come?",sad
2338,Ses02F_script01_3_M006,"Oh.  Would you want to?  I guess you know, this is why I asked you to come.",xxx
2339,Ses02F_script01_3_F010,I--I guess this is why I came.,xxx
2340,Ses02F_script01_3_M007,"Anne, I love you.  I love you a great deal.  I love you.",xxx
2341,Ses02F_script01_3_M008,I have no imagination.  That's all I know to tell you.,xxx
2342,Ses02F_script01_3_M009,I'm embarrassing you and I didn't want to tell it to you here.  I wanted some place we'd never been before.  A place where we'd be brand new to each other.,xxx
2343,Ses02F_script01_3_M010,"You feel it's wrong here, don't you?  This yard, this chair.  I want you to be ready for me.  I don't want to have to win you away from anything.",exc
2344,Ses02F_script01_3_F011,"Oh, Chris, I've been ready for a long, long time.",xxx
2345,Ses02F_script01_3_M011,And he's gone forever.  You're sure?,xxx
2346,Ses02F_script01_3_F012,I almost got married two years ago.,hap
2347,Ses02F_script01_3_M012,Why didn't you?,xxx
2348,Ses02F_script01_3_F013,You started to write me and--,hap
2349,Ses02F_script01_3_M013,You felt something that far back?,xxx
2350,Ses02F_script01_3_F014,Every day since.,hap
2351,Ses02F_script01_3_M014,"Anne, why didn't you let me know?",xxx
2352,Ses02F_script01_3_F015,"Well, I was waiting for you.  I mean, till then you never wrote and when you did, I mean, what did you say?  You can sure be ambiguous sometimes.",xxx
2353,Ses02F_script01_3_M015,"Give me a kiss, Anne.  Give me a-",xxx
2354,Ses02F_script01_3_M016,"oh God, I kissed you.  I kissed Annie.  How long--how long I've been waiting to kiss you.",xxx
2355,Ses02F_script01_3_F016,I will never forgive you.  Why did you wait all these years?  All I did was sit and wonder if I was crazy for thinking of you.,hap
2356,Ses02F_script01_3_M017,"Oh, Annie, we're gonna live now.  I'm gonna make you so happy.",xxx
